nameEmpresa;nitEmpresa;emailEmpresa;activos;tipoEntidad
COOPERATIVA DE AHORRO Y CREDITO COOYAMOR;811010302;coyamor@gmail.com;35201184593;Ahorro y credito
FONDO DE EMPLEADOS DEL DEPARTAMENTO DE ANTIOQUIA;890982415;fedean@fedean.org.co;20233019593;Fondos de empleados
FONDO DE EMPL DE AHORRO Y CREDITO DE DOCEN DIREC DEL GUAVIARE;800074482;gerencia1@facredig.com;23778850194;Fondos de empleados
COOPERATVA DE PROFESORES UIS LTDA.;890208101;cooruis@coopruis.coop;18350579608;Cooperativa sin ahorro
COOPERATIVA DE APORTES Y CREDITOS DE LOS TRABAJADORES DE LAS EMPRESAS MUNICIPALES DE TULUA;891901162;cooemtulua@gmail.com;21038210456;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE  INVERSIONES DE LA COSTA PACIFICA;805009249;contabilidadfeincopac@olimpica.com.co;18951256113;Fondos de empleados
COOPERATIVA MULTIACTIVA DE TRABAJADORES DE LA CHEC LTDA.;890800099;fabio.panesso@cootrachec.com.co;16364265941;Ahorro y credito
FONDO DE EMPLEADOS DE LA UNIVERSIDAD DEL QUINDIO;890001038;fondouq@fondoempleadosuniquindio.com;14908555313;Fondos de empleados
COOPERATIVA ESPECIALIZADA DE AHORRO Y CREDITO COOPIGON;800145149;coopigo2@yahoo.es;10045100893;Ahorro y credito
COOPERATIVA MULTIACTIVA DE APORTE Y CREDITO CRECIENDO;891502277;info@creciendo.coop;15660787827;Cooperativa sin ahorro
COOPERATIVA DE CAFICULTORES DE TAMARA LTDA.;891855267;info@cafetamara.org;3626399397;Cooperativa sin ahorro
FONDO DE AHORRO Y CREDITO EMPLEADOS FRISBY LTDA;891411503;fondo@frisby.com.co;11851704608;Fondos de empleados
COOPERATIVA DEL MUNICIPIO DE PEREIRA Y DEPARTAMENTO DE RISARALDA;891400646;coomper40@gmail.com;49527749976;Cooperativa sin ahorro
FONDO DE EMPLEADOS FEIRO;811007303;feiro@feiro.com.co;8363768121;Fondos de empleados
COOPERATIVA MULTIACTIVA DE SEGURIDAD SOCIAL COMSES;806008243;notificacionesjudiciales@comses.org;10003012494;Cooperativa sin ahorro
COOPERATIVA DE AHORRO Y CREDITO TRABAJADORES DEL SENA LTDA;891400716;cotrasena@cotrasenapereira.com;14254864261;Ahorro y credito
COOPERATIVA DE CREDITO Y SERVICIO COMUNIDAD;804015582;gerencia@ccioomunidad.com;24109052009;Cooperativa sin ahorro
COOPERATIVA AGROPECUARIA DE GALERAS;800255239;coopagrogal@hotmail.com;1289571774;Cooperativa y otros
COOPERATIVA MULTIACTIVA BIENES Y SERVICIOS (CONVABISER);830103478;multiactivaconvabiser@gmail.com;486632939;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA COPANEM;900452983;copanem@hotmail.com;379157091;Cooperativa sin ahorro
INSTITUCION AUXILIAR COOPERATIVA DE LOS SERVICIOS DE COEDUCADORES BOYACA;900970200;gerencia.iasceboy@coeducadores.coop;12369573906;Cooperativa y otros
FONDO DE EMPLEADOS DE KOBA COLOMBIA;901281483;johana.sanchez@fondtodos.com;13065807447;Fondos de empleados
COOPERATIVA DE SERVIDORES PUBLICOS;860013472;gerente@coominobras.coop;17838017696;Cooperativa sin ahorro
GRUPO EMPRESARIAL SOLIDARIO;830032059;coordirnacion@ges.com.co;4283330315;Cooperativa y otros
COOPERATIVA DE CREDITO CORVINDE;860028576;contabilidad@corvinde.com.co;19432077752;Cooperativa sin ahorro
COOPERATIVA INTEGRAL DE PRODUCTORES DE CARBON DE CUCUNUBA;860523620;cootramipbrio@hotmail.com;3959822962;Cooperativa sin ahorro
FONDO DE EMPLEADOS UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;860064050;sgerencia@feud.com.co;51599956370;Fondos de empleados
COOCERVUNION COOPERATIVA DE AHORRO Y CREDITO;890982364;gerencia@coocervunion.com;11594591612;Ahorro y credito
ASOCIACION COOPERATIVA DE TRABAJADORES DE LA EDUCACION DE RISARALDA;800122330;atraer@etp.net.co;3518203618;Cooperativa y otros
COOPERATIVA DE MUJERES PARA LA PROMOCION INTEGRAL;800040977;coopmujerltda@gmail.com;8790649022;Ahorro y credito
COOPERATIVA SAN SIMON;890701061;cooperativasansimon@coopsansimon.com;9843591174;Ahorro y credito
COOPERATIVA FUTURISTA DE AHORRO Y CREDITO DE NEIVA;800175594;cofaceneiva2004@yahoo.com;15764551567;Ahorro y credito
COOPERATIVA DE EDUCADORES DEL MAGDALENA;891701124;cooedumagdalena@hotmail.com;98436099261;Cooperativa sin ahorro
COOPERATIVA MULTIACTIV DE TRABAJADORES DEL NORTE DE SANTANDER LTDA.;890501609;gerente.coomutra@hotmail.com;11067164944;Cooperativa sin ahorro
COOPERATIVA DE PRODUCCION AGROPECUARIA DE INGENIEROS AGRONOMOS DEL SINU;891001125;coopiagros@hotmail.com;2645909019;Cooperativa sin ahorro
COOPERATIVA DE AHORRO Y CREDITO DE TELECOMUNICACIONES DE CUCUTA LTDA.;890506144;contabilidadcooptelecuc@gmail.com;6038370168;Ahorro y credito
COOPERATIVA AGROINDUSTRIAL DE AVICULTORES DE SANTANDER LTDA;804002000;contabilidadcoavisanltda@gmail.com;864089374;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE NOTARIADO Y REGISTRO ;860037073;contabilidad@cornotare.com.co;25083121231;Fondos de empleados
COOPERATIVA TECNICA DE INGENIERIA CONSTRUCCION Y AGROINDUSTRIA;800010169;eticaltda@gmail.com;298990219;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE SODEXHO COLOMBIA;830129648;carmen.ramirez@sodexo.com;20326902783;Fondos de empleados
COOPERATIVA MULTIACTIVA DE VIVIENDA Y PRODUCCION LA CABA#A;800072480;info@cooviproc.com;13353123418;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA PARA EDUCADORES;830508248;contabilidadcoomeducar@gmail.com;1326766257;Cooperativa sin ahorro
COOPERATIVA DE AHORRO Y CREDITO FINANCIAFONDOS;900087473;contabilidad@financiafondos.org.co;15593088957;Ahorro y credito
COOPERATIVA DE AHORRO Y CREDITO UNION COLOMBIANA;900068438;info@coomunion.com;38514934873;Ahorro y credito
FONDO DE EMPLEADOS DE EMPRESAS FALABELLA COLOMBIA;900244197;aabaron@falabella.com.co;12420338548;Fondos de empleados
COPERATIVA MULTIACTIVA DE EMPLEADOS Y PENSIONADOS;900314497;coomulpens@hotmail.com;1462435501;Cooperativa sin ahorro
COOPERATIVA REGIONAL DE CAFES ESPECIALES GLOBAL CAFES;900571820;soniacometa@hotmail.com;6952814001;Cooperativa y otros
COOPERATIVA AGRICOLA DEL QUINDIO;900957199;cooagroquin@hotmail.com;3277053060;Cooperativa sin ahorro
FONDO DE EMPLEADOS ABBOTT LABORATORIES DE COLOMBIA S.A.;860022029;gerencia@fonabbott.com;19689469754;Fondos de empleados
FONDO DE EMPLEADOS DE LA ENERGIA CAJITA;800220004;administracion@fondoenergia.com;42640545178;Fondos de empleados
COOPERATIVA DE TRABAJADORES DE LA CASA EDITORIAL EL TIEMPO S.A. Y DE LAS EMPRESAS DE COMUNICACION EN COLOMBIA;860014327;gerencia@cootratiempo.com.co;11532460011;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE M.G. CONSULTORES Y EMPRESAS AGROPECUARIAS O EMPRESAS ANEXAS Y COMPLEMENTARIAS;800189840;gerencia@femeg.co;12802595484;Fondos de empleados
FONDO DE EMPLEADOS DE INCOLBESTOS S.A. LTDA;800043903;comunicacionesfeincol@feincol.com;14075898401;Fondos de empleados
ORGANISMO COOPERATIVO MICROEMPRESARAL DE COLOMBIA;800114798;henry.lopez@emprender.com.co;14873243546;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE LA REGISTRADURIA NACIONAL DEL ESTADO CIVIL;860074958;fonreginal@gmail.com;43534243652;Fondos de empleados
FONDO DE EMPLEADOS FOMEVI;811006446;fomevi@fomevi.com;29540084292;Fondos de empleados
COOPERATIVA ESPECIALIZADA DE Ahorro y credito ORBISCOOP;890907772;operaciones@orbiscoop.com;8778666991;Ahorro y credito
COOPERATIVA MULTIACTIVA PARA LA EDUCACION DE ITAGUI;800171406;cooperativa@coomei.co;5232883590;Cooperativa sin ahorro
FONDO DE EMPLEADOS FONELSA;800052851;fonelsa@fonelsa.com;25076625784;Fondos de empleados
FONDO DE EMPLEADOS DE SALUD EN RISARALDA;891408814;feser@feser.com.co;11227124922;Fondos de empleados
SUPERFONDO FONDO DE EMPLEADOS ;890901188;nquintero@superfondo.com.co;42676516998;Fondos de empleados
COOPERATIVA MULTIACTIVA EL BAGRE LTDA;890904368;gerencia@coobagre.com;13187376623;Ahorro y credito
COOPERATIVA MULTIACTIVA DE TRABAJADORES, JUBILADOS Y PENSIONADOS DEL SECTOR PUBLICO Y PRIVADO;890303723;coviemcali@coviemcali.coop;9115532892;Cooperativa sin ahorro
COOPERATIVA DE EMPLEADOS DEL SECTOR COOPERATIVO LTDA.;890209788;coescoop@gmail.com;8433654735;Ahorro y credito
COOPERATIVA MULTIACTIVA COOADAMS;890306527;contabilidad@cooadams.com.co;10872368964;Cooperativa sin ahorro
COOPERATIVA DE TRABAJADORES COOPETRAFES;800076121;gerencia@coopetrafes.com.co;7599150282;Cooperativa sin ahorro
ORGANIZACION COOPERATIVA DE Ahorro y credito NORTE DE BOYACA;891855103;contabilidad@norboy.com.co;15625271519;Ahorro y credito
COOPERATIVA DE LOS TRABAJ.DE LA EDUCAC.OFICIAL DEL TOLIMA;890706553;informes@codetol.com;12068469906;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE LA FISCALIA GENERAL DE LA NACION;800251606;contabilidad@fondefis.com;17946925669;Fondos de empleados
FONDO DE EMPLEADOS PROFESORES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES;890803056;comunicaciones@fapun.com;19946835692;Fondos de empleados
FONDO DE EMPLEADOS UNIVERSIDAD DE CALDAS;890801733;contabilidad@foncaldas.com;18398380415;Fondos de empleados
FONDO DE EMPLEADOS DE COMFENALCO;890481191;contador@foncomfenalco.com;8748975165;Fondos de empleados
COOPERATIVA MULTIACTIVA DEL SECTOR ENERGETICO;890100369;cootrael1963@hotmail.com;6585133895;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE HOGARES DE BIENESTAR;801000102;contabilidad@coohobienestar.org;1612218987;Cooperativa sin ahorro
EMPRESA COOPERATIVA DE LA INDUSTRIA DEL PETROLEO COLOMBIANO;890270556;secretariageneral@copacentro.com;10865422113;Cooperativa sin ahorro
COOPERATIVA DE AHORRO Y CREDITO LA PLAYA DE BELEN LTDA;800038375;coodin88@yahoo.com.co;14921576930;Ahorro y credito
COOPERATIVA DE TRABAJADORES DE LA AGROINDUSTRIA DE LA PALMA EN COLOMBIA;890270301;cooagropcol@hotmail.com;1445516044;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE SCHLUMBERGER SURENCO;860077728;fedesco@slb.com;42793907859;Fondos de empleados
COOPERATIVA MULTIACTIVA LOMA LARGA;805005466;cooplomalarga@gmail.com;345936111;Cooperativa sin ahorro
COOPERATIVA DE TRABAJO ASOCIADO CALISERVICIOS LTDA;807005593;rangelevelio2@gmail.com;130624347;Cooperativa y otros
COOPERATIVA COLOMBIANA DE CREDITO Y SERVICIOS;830059399;informacion@crediscol.com;5976825478;Cooperativa sin ahorro
ASOCIACION ANTIOQUEÑA DE COOPERATIVAS;800015746;director@confecoopantioquia.coop;1789395100;Cooperativa y otros
COOPERATIVA DE AHORRO Y CREDITO COOMPARTIR;890300635;gerencia@cooperativacoompartir.com;4312264780;Ahorro y credito
COOPERATIVA DE TRABAJO ASOCIADO DE SERVICIOS TECNICOS AUTOMOTRIZ;802011099;admon.cootraserteca@hotmail.com;2782534990;Cooperativa y otros
FONDO DE EMPLEADOS FONEH;830066248;foneh@foneh.com;29028784770;Fondos de empleados
COOPERATIVA INTEGRAL PARA EL DESARROLLO SOCIAL Y FAMILIAR;830060785;coopidesarrollo@hotmail.com;3888623085;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE FAMILIA SANCELA;900198308;luis.fernando.betancur@essity.com;29963266737;Fondos de empleados
ASOCIACION COMUNITARIA DE MARINILLA ACODEMA;890985831;acodema@acodema.com;3354807420;Mutuales
FONDO DE EMPLEADOS DE LA COMPAÑIA ELECTRICA DE SOCHAGOTA;900458752;fondeces@gmail.com;1817688714;Fondos de empleados
COOPERATIVA NACIONAL DE CREDITOS SANTAFE LTDA;860014071;gerencia@conalfe.com;444989723;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE LA PONTIFICIA UNIVERSIDAD JAVERIANA;860516532;fondo@javeriana.educo;52789993306;Fondos de empleados
FONDO DE EMPLEADOS DEL BANCO DE BOGOTA;860006643;ebautis@bancodebogota.com.co;77224087903;Fondos de empleados
COOPERATIVA DE DESARROLLO EMPRESARIAL;860533380;direccionfinanciera@demcoop.com;21140594628;Cooperativa sin ahorro
FONDO DE EMPLEADOS DEL SENA Y SERVIDORES PUBLICOS;860014540;gerenciafes@fondofes.com.co;7633278060;Fondos de empleados
FONDO DE EMPLEADOS PORVENIR S.A.;830006497;fesap@porvenir.com.co;13774509164;Fondos de empleados
CENTRAL DE INTEGRACION Y CAPACITACION COOPERATIVA;860516999;tesoreria@cincop.com.co;570122779;Cooperativa y otros
FONDO DE EMPLEADOS DEL BANCO DE COMERCIO EXTERIOR;830021354;foncomex1@bancoldex.com;11812891614;Fondos de empleados
FONDO DE EMPLEADOS HOSPITAL MILITAR CENTRAL;800067217;fondehosmil@yahoo.com;17215606951;Fondos de empleados
COOPERATIVA MULTIACTIVA DE SERVICIOS ANDINA;800130007;contable@coopservandina.com;15850927202;Cooperativa sin ahorro
COOPERATIVA MULTIAC DE SERV PARA PENSIONADOS Y RETIRADOS DE LA FUERZA PUBLICA Y DEL ESTADO LTDA;860044459;coomanufacturasltada@yahoo.com;5943917032;Cooperativa sin ahorro
COOPERATIVA DEL SECTOR TECNOLOGICO DE COLOMBIA;860027125;gerencia@coopsetec.com;2109545568;Cooperativa sin ahorro
FONDO DE EMPLEADOS CAMARA DE COMERCIO DE BOGOTA;860010744;gerencia@feccb.com.co;13626999878;Fondos de empleados
FONDO DE EMPLEADOS DEL COLEGIO ANGLO COLOMBIANO;860504338;fonanglo@anglo.edu.co;9363950330;Fondos de empleados
FONDO DE EMPLEADOS DE SIERRACOL ENERGY ARAUCA LLC;890203006;gerencia@fodesi.com.co;35396350160;Fondos de empleados
FONDO DE EMPLEADOS DE LA SUPERINTENDENCIA FINANCIERA DE COLOMBIA;860016239;supfon05@superfinanciera.gov.co;36550611853;Fondos de empleados
CONFEDERACION DE COOPERATIVAS DE COLOMBIA;860507641;cjrobles@confecoop.coop;3638388968;Cooperativa y otros
COOPERATIVA DE TRABAJADORES DE LAS EMPRESAS DEPARTAMENTALES DE ANTIOQU;890904252;coeda@une.net.co;5357134378;Ahorro y credito
FONDO DE EMPLEADOS DE COMFENALCO-ANTIOQUIA;800074405;fecom@comfenalcoantioquia.com;14547757488;Fondos de empleados
SERVIVIR, GRUPO EMPRESARIAL DE LA ECONOMIA SOLIDARIA;800238317;gerencia@servivir.coop;5367032934;Cooperativa y otros
FONDO DE EMPLEADOS DE ALIMENTOS CARNICOS;890309582;auxcontablefonalimentos@alimentoscarnicos.com.co;17815808288;Fondos de empleados
FONDO DE EMPLEADOS DE SEGURIDAD OCCIDENTE;805005220;gerencia@fodeocci.com.co;4969477612;Fondos de empleados
FONDO DE EMPLEADOS DE COMFENALCO VALLE;800090782;mgosorio@comfenalcovalle.com.co;11038330904;Fondos de empleados
COOPERATIVA MULTIACTIVA DE LOS TRABAJADORES DEL ISS;890704364;direccionoperativa@gmail.com;6905016975;Ahorro y credito
COOPERATIVA MULTIACTIVA COOMONOMEROS;800000122;ccoomonomeros@servext.com.co;29514805403;Ahorro y credito
COOPERATIVA DE AHORRO Y CREDITO DE LOS TRABJ. Y JUB. DE LA E.M.T.;890102302;cootatelbq@gmail.com;10452809373;Cooperativa sin ahorro
COOPERATIVA DE EDUCADORES DEL QUINDIO LTDA;890001597;gerencia@coodeq.com;3507324872;Cooperativa sin ahorro
COOPERATIVA NARI#ENSE DE MILITARES RETIRADOS LTDA.;891200465;coodemirltda@yahoo.com;3524882518;Cooperativa sin ahorro
COOPERATIVA DE DESARROLLO Y EMPLEO SOCIAL;800122815;precoodes@precoodes.com;5854437880;Cooperativa y otros
FONDO DE EMPLEADOS DEL DEPARTAMENTO DEL HUILA FONEDH;891103461;recepcionfacturas@fonedh.com;33480787769;Fondos de empleados
COOPERATIVA PROGRESEMOS;891408752;financierocprogresemos@gmail.com;3745498279;Cooperativa sin ahorro
FONDO DE EMPLEADOS COMFAMILIAR RISARALDA;891412257;contabilidad@facor.co;14759906594;Fondos de empleados
ASOCIACION MUTUAL BURSATIL  ASOBURSATIL ;800175748;contabilidad@asobursatil.org;8904771710;Mutuales
COOPENTEL;800069709;coopentel@hotmail.com;18896434483;Cooperativa sin ahorro
FONDO DE EMPLEADOS LAFRANCOL;805006772;contabilidad@felafrancol.com;21512004487;Fondos de empleados
COOPERATIVA DE EMPLEADOS DE LA EDUCACION DE FONSECA Y EL SUR DE LA GUAJIRA;800084376;cooperativa@coodefon.com.co;9275160348;Cooperativa sin ahorro
FONDO EDUCATIVO DE AHORRO Y SERVICIO SOCIAL DE LOS EMPLEADOS DEL CONGRESO DE LA REPUBLICA;830134115;feassec@gmail.com;11830437598;Fondos de empleados
COOPERATIVA MULTIACTIVA DE EMPLEADOS DEL GOBIERNO EN EL PUTUMAYO;800089427;gerente@coomegop.coop;3397856278;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE OPEN MARKET;830024748;contador.fonopen@solistica.com;6161225295;Fondos de empleados
COOPERATIVA INTEGRAL EN SALUD;802007499;contabilidadconsalud@gmail.com;4853573517;Cooperativa y otros
FONDO DE EMPLEADOS FONALCANZAR;832004870;servicioalclientefonalcanzar@alqueria.com.co;16509226729;Fondos de empleados
COOPERATIVA CAFETERA DE COLOMBIA;810003952;cafecolmanizales@yahoo.es;2528777950;Cooperativa sin ahorro
ASOCIACION MUTUAL SINTRAINDUPLASCOL - SINTRAEMPAQUES;811037420;amusse@hotmail.com;4372589196;Mutuales
COOPERATIVA MULTIACTIVA DE APORTES Y CREDITO;900018226;info@cofipor.com;3154033299;Cooperativa sin ahorro
FONDO DE EMPLEADOS KIKES;830512407;fondekikes@kikes.com.co;8221089129;Fondos de empleados
FONDO DE EMPLEADOS DE COORDINADORA MERCANTIL S.A.;900076795;angelaa@coordinadora.com;12006520047;Fondos de empleados
COOPERATIVA MULTIACTIVA DE AMIGOS SOLIDARIOS;830510344;cooperas@cooperas.com.co;3986065096;Cooperativa sin ahorro
FONDO DE EMPLEADOS FERMAD;900485335;gerencia@fermad.co;13453560416;Fondos de empleados
FONDO DE EMPLEADOS DEL SECTOR AVICOLA COLOMBIANO;900577985;claudia.gonzalez@fondotrebol.org;6844368851;Fondos de empleados
COOPERATIVA MULTIACTIVA ALIANZA PARA EL AGRO;901078799;alagrocoop@gmail.com;3003831026;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SERVICIOS INTEGRALES;901000538;sermicoop@hotmail.com;607641366;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA SALINAS DE COLOMBIA-COOPSALINAS;860029633;gerencia@coopsalinas.com;8604014450;Cooperativa sin ahorro
COOPERATIVA DE TRABAJADORES DE LA INDUSTRIA MILITAR;860029552;contabilidad@coopindumil.com.co;12044606238;Ahorro y credito
CRECER FONDO DE EMPLEADOS;860016190;contador@fefoncrecer.com;16843022598;Fondos de empleados
COOPERATIVA FINANCIERA SAN FRANCISCO;860045262;coopsanfrancisco@hotmail.com;10646742941;Ahorro y credito
COOPERATIVA DE EMPLEADOS DE DOW COLOMBIA;860068522;luzdpolo@codecol.com.co;37512478097;Ahorro y credito
COOPERATIVA NACIONAL MULTIACTIVA GRUPO ASOCIATIVO COONALTRAGAS;860007339;gerencia@coonaltragas.com;13408816789;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE MERCK SHARP & DOHME Y FROSST;860022308;liliana.quique@fondomsd.com.co;15181422397;Fondos de empleados
FONDO DE EMPLEADOS DE CONSEJEROS PROFESIONALES BOLIVAR;830002187;fonbolivar@segurosbolivar.com;18699061458;Fondos de empleados
FONDO DE EMPLEADOS DEL GRUPO SEGUROS BOLIVAR;860007266;adebol@segurosbolivar.com;12200000000000000;Fondos de empleados
FONDO DE EMPLEADOS DE LA SUPERINTENDENCIA DE SOCIEDADES;860062437;gerenciafess@supersociedades.gov.co;27432872584;Fondos de empleados
COOPERATIVA DE AHORRO Y CREDITO SOYCOOP;890926570;gerencia@soycoop.com.co;3738994588;Ahorro y credito
FONDO DE EMPLEADOS DE INDUSTRIAS HACEB;800131687;natalia.rodriguez@haceb.com;18937618163;Fondos de empleados
FONDO DE EMPLEADOS Y TRABAJADORES DEL SISTEMA NACIONAL DE BIENESTAR FAMILIAR Y OTRAS EMPRESAS Y ENTIDADES;890329483;info@febifam.co;7039052670;Fondos de empleados
FONDO DE EMPLEADOS DE LA SOCIEDAD PORTUARIA;835000115;fondocon@fespbun.com;31391702824;Fondos de empleados
FONOD DE EMPLEADOS DE LABORATORIOS RECAMIER;800167927;fondelar1@gmail.com;17983441039;Fondos de empleados
COOPERATIVA DE AHORRO Y CREDITO DE TRABAJADORES DE GOODYEAR DE COLOMBIA;890303082;gerencia@multiacoop.com;4709954338;Ahorro y credito
FONDO DE EMPLEADOS DE SALUD PUBLICA MUNICIPAL;805006246;fonsalud@telmex.net.co;9925392931;Fondos de empleados
COOPERATIVA MULTIACTIVA DE APORTE Y CREDITO COOMFONELEC;890704636;fonelectolima@yahoo.com;4625142283;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA LOS OLIVOS ;800176286;contabilidad@coolivos.com;2387426498;Cooperativa sin ahorro
FONDO DE EMPLEADOS EDUCADORES DEL QUINDIO;890001590;infogerenciafacequin@gmail.com;30726070842;Fondos de empleados
COOPERATIVA MULTIACTIVA DE TELECOMUNICACIONES LTDA;890200208;coopetel@coopetel.coop;11146626738;Cooperativa sin ahorro
COOPERATIVA DE LA INVERSION, PRODUCCION, COMERCIALIZACION Y CONSUMO;890210750;corfuturo06@yahoo.es;3140124868;Cooperativa sin ahorro
COOPERATIVA DE SERVICIOS Y PRODUCCION;800114538;servimos@une.net.co;992897741;Cooperativa y otros
FONDO DE EMPLEADOS CIA DE ELECTRICIDAD DE TULUA S.A;800199916;fondofoncet@hotmail.com;774782368;Fondos de empleados
COOPERATIVA EMPLEADOS DE LATINOAMERICANA DE SEGUROS LTDA.;860020523;gerencia@latincoop.com;11103301125;Cooperativa sin ahorro
COOPERATIVA A SU SERVICIO LTDA.;806004525;contabilidad@cooas.com.co;2364740987;Cooperativa sin ahorro
FONDO DE EMPLEADOS FEAVANZA;860021362;sandra.villaquiran@feavanza.com;15872418723;Fondos de empleados
COOPERATIVA MULTIACTIVA DE LOS TRABAJADORES DE COLOMBIA;804011578;gerencia@cardiocoop.co;3647897522;Cooperativa sin ahorro
FONDO DE EMPLEADOS ALTATEC;811034937;gerencia@fondoaltatec.com;5692285824;Fondos de empleados
COOPERATIVA DE CAFICULTORES DEL CAQUETA;891190236;coocafica@yahoo.es;1138546337;Cooperativa sin ahorro
FONDO DE EMPLEADOS UNE;811018807;contabilidad@fondoune.com;15361082399;Fondos de empleados
FONDO DE EMPLEADOS DE NACIONES DE UNIDAS DE COLOMBIA;830121369;contador@fenucol.com;16251388400;Fondos de empleados
FONDO DE EMPLEADOS DE AGRICOLA SARA PALMA;811029999;emarquez@fesapalma.com.co;9307629454;Fondos de empleados
FONDO DE EMPLEADOS DEL METRO DE MEDELLIN;811018902;fondodeempleados@metrofem.com;18213240117;Fondos de empleados
ASOCIACION MUTUAL SAN JERONIMO;811003372;asociacionmutualsanjeronimo@gmail.com;7052280548;Mutuales
COOPERATIVA DE EDUCADORES DEL GUAINIA LTDA;800055069;coodegua.ltda@hotmail.com;2878656381;Cooperativa sin ahorro
COOPERATIVA DE EMPLEADOS DEL PACIFICO;835000894;secretaria@coopempacifico.com;3745930538;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE TRABAJO ASOCIADO DE PROFESORES DEL DEPARTAMENTO DEL META;822006598;cooprometa@gmail.com;5460734411;Cooperativa sin ahorro
CONSULTORIA Y AUDITORIA SOCIOEMPRESARIAL;830502692;carlosrodriguezm1@hotmail.com;158386443;Cooperativa y otros
COOPERATIVA DE ASESORIA JURIDICA Y DE SEGURIDAD POR INTERNET;830133303;atencionalcliente@codenet.com.co;115351646;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE PRODUCCION DISTRIBUCION Y SERVICIOS FARMADISA;900120344;coofarmadisa@gmail.com;24960407733;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE LA FUNDACION MUNDO MUJER;900699562;fondofemm@gmail.com;6289327441;Fondos de empleados
ASOCIACION MUTUAL APOREVAL;900719270;mutualaporeval@yahoo.com;1514976601;Mutuales
COOPERATIVA AGRICOLA Y CAFETERA DEL VALLE;900475709;info.coocafe@trilladorabarbarita.com;5729977552;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE COLPATRIA;860091062;gerencia@fondecol.com.co;3872357947;Fondos de empleados
SOMOS ORGANISMO COOPERATIVO;860521827;contador@somoscooperativa.com.co;5175170221;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SERVICIOS Y CREDITO ASOCIADO;860048861;contabilidad@cooptraconalvidrios.com;4687406891;Cooperativa sin ahorro
FONDO DE EMPLEADOS BAYER;860040746;gerencia@febay.co;28190913002;Fondos de empleados
COOPERATIVA DE EMPLEADOS DE LOS SECTORES TRABAJO,SALUD Y PROTECCION SOCIAL;860047889;gerencia@coopminprosc.com;10458573489;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA NACIONAL DE SERVICIOS COONALSER;800108924;coonalser@hotmail.com;612177922;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE GECOLSA;800010357;juanpablo_riveros@gecolsa.com.co;33494730443;Fondos de empleados
FONDO DE EMPLEADOS Y PENSIONADOS DEL SECTOR SALUD;860402067;foemsalud@yahoo.es;6421628226;Fondos de empleados
FONDO DE EMPLEADOS DEL DANE;860030558;fedane@dane.gov.co;9085723794;Fondos de empleados
FONDO DE EMPLEADOS DE REDEBAN MULTICOLOR S A ;800173507;amrojas@rbm.com.co;11895207645;Fondos de empleados
COOPERATIVA DE TRABAJADORES DE LA CASA EDITORIAL EL TIEMPO;860046668;mmurillo@cotiempo.com;7962194688;Cooperativa sin ahorro
FONDO DE EMPLEADOS DE CARACOL;860023039;fondec@fondec.com;13135844985;Fondos de empleados
FONDO DE EMPLEADOS DEL BANCO COLPATRIA;860032319;gerencia@febancol.co;10998939620;Fondos de empleados
FONDO DE EMPLEADOS DEL GRUPO EMPRESARIAL INASSA;802000432;orlando.florez@fontriplea.com.co;11439509003;Fondos de empleados
FONDO DE EMPLEADOS BANCO POPULAR Y FILIALES;800044138;gerencia@fempopular.co;8961189582;Fondos de empleados
COOPERATIVA DE EMPLEADOS THOMAS IMPRESORA PROSEGUR TRANSPORTADORA DE VALORES FILIALES Y OTRAS;860024008;gerencia@coothotraval.com;6964337599;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE SOPO;860040816;gerencia@ccs.edu.co;2214291646;Cooperativa sin ahorro
COOPERATIVA MULTIACTIVA DE COMERCIANTES DE SAN VICTORINO;860515691;gerencia@coomersan.con;4262246415;Cooperativa sin ahorro
